ts,value
2022-07-14 23:00:00+00:00,0.2062881
2022-07-14 23:15:00+00:00,0.2062881
2022-07-14 23:30:00+00:00,0.2062881
2022-07-14 23:45:00+00:00,0.2062881
2022-07-15 00:00:00+00:00,0.2062881
2022-07-15 00:15:00+00:00,0.2062881
2022-07-15 00:30:00+00:00,0.2062881
2022-07-15 00:45:00+00:00,0.2062881
2022-07-15 01:00:00+00:00,0.2062881
2022-07-15 01:15:00+00:00,0.2062881
2022-07-15 01:30:00+00:00,0.2062881
2022-07-15 01:45:00+00:00,0.2062881
2022-07-15 02:00:00+00:00,0.2062881
2022-07-15 02:15:00+00:00,0.2062881
2022-07-15 02:30:00+00:00,0.2062881
2022-07-15 02:45:00+00:00,0.2062881
2022-07-15 03:00:00+00:00,0.2062881
2022-07-15 03:15:00+00:00,0.2062881
2022-07-15 03:30:00+00:00,0.2062881
2022-07-15 03:45:00+00:00,0.2062881
2022-07-15 04:00:00+00:00,0.2062881
2022-07-15 04:15:00+00:00,0.2062881
2022-07-15 04:30:00+00:00,0.2062881
2022-07-15 04:45:00+00:00,0.2062881
2022-07-15 05:00:00+00:00,0.2062881
2022-07-15 05:15:00+00:00,0.2062881
2022-07-15 05:30:00+00:00,0.2062881
2022-07-15 05:45:00+00:00,0.2062881
2022-07-15 06:00:00+00:00,0.2062881
2022-07-15 06:15:00+00:00,0.2062881
2022-07-15 06:30:00+00:00,0.2062881
2022-07-15 06:45:00+00:00,0.2062881
2022-07-15 07:00:00+00:00,0.2062881
2022-07-15 07:15:00+00:00,0.2062881
2022-07-15 07:30:00+00:00,0.2062881
2022-07-15 07:45:00+00:00,0.2062881
2022-07-15 08:00:00+00:00,0.2062881
2022-07-15 08:15:00+00:00,0.2062881
2022-07-15 08:30:00+00:00,0.2062881
2022-07-15 08:45:00+00:00,0.2062881
2022-07-15 09:00:00+00:00,0.2062881
2022-07-15 09:15:00+00:00,0.2062881
2022-07-15 09:30:00+00:00,0.2062881
2022-07-15 09:45:00+00:00,0.2062881
2022-07-15 10:00:00+00:00,0.2062881
2022-07-15 10:15:00+00:00,0.2062881
2022-07-15 10:30:00+00:00,0.2062881
2022-07-15 10:45:00+00:00,0.2062881
2022-07-15 11:00:00+00:00,0.2062881
2022-07-15 11:15:00+00:00,0.2062881
2022-07-15 11:30:00+00:00,0.2062881
2022-07-15 11:45:00+00:00,0.2062881
2022-07-15 12:00:00+00:00,0.2062881
2022-07-15 12:15:00+00:00,0.2062881
2022-07-15 12:30:00+00:00,0.2062881
2022-07-15 12:45:00+00:00,0.2062881
2022-07-15 13:00:00+00:00,0.2062881
2022-07-15 13:15:00+00:00,0.2062881
2022-07-15 13:30:00+00:00,0.2062881
2022-07-15 13:45:00+00:00,0.2062881
2022-07-15 14:00:00+00:00,0.2062881
2022-07-15 14:15:00+00:00,0.2062881
2022-07-15 14:30:00+00:00,0.2062881
2022-07-15 14:45:00+00:00,0.2062881
2022-07-15 15:00:00+00:00,0.2062881
2022-07-15 15:15:00+00:00,0.2062881
2022-07-15 15:30:00+00:00,0.2062881
2022-07-15 15:45:00+00:00,0.2062881
2022-07-15 16:00:00+00:00,0.2062881
2022-07-15 16:15:00+00:00,0.2062881
2022-07-15 16:30:00+00:00,0.2062881
2022-07-15 16:45:00+00:00,0.2062881
2022-07-15 17:00:00+00:00,0.2062881
2022-07-15 17:15:00+00:00,0.2062881
2022-07-15 17:30:00+00:00,0.2062881
2022-07-15 17:45:00+00:00,0.2062881
2022-07-15 18:00:00+00:00,0.2062881
2022-07-15 18:15:00+00:00,0.2062881
2022-07-15 18:30:00+00:00,0.2062881
2022-07-15 18:45:00+00:00,0.2062881
2022-07-15 19:00:00+00:00,0.2062881
2022-07-15 19:15:00+00:00,0.2062881
2022-07-15 19:30:00+00:00,0.2062881
2022-07-15 19:45:00+00:00,0.2062881
2022-07-15 20:00:00+00:00,0.2062881
2022-07-15 20:15:00+00:00,0.2062881
2022-07-15 20:30:00+00:00,0.2062881
2022-07-15 20:45:00+00:00,0.2062881
2022-07-15 21:00:00+00:00,0.2062881
2022-07-15 21:15:00+00:00,0.2062881
2022-07-15 21:30:00+00:00,0.2062881
2022-07-15 21:45:00+00:00,0.2062881
2022-07-15 22:00:00+00:00,0.2062881
2022-07-15 22:15:00+00:00,0.2062881
2022-07-15 22:30:00+00:00,0.2062881
2022-07-15 22:45:00+00:00,0.2062881
2022-07-15 23:00:00+00:00,0.2062881
2022-07-15 23:15:00+00:00,0.2062881
2022-07-15 23:30:00+00:00,0.2062881
2022-07-15 23:45:00+00:00,0.2062881
2022-07-16 00:00:00+00:00,0.2062881
2022-07-16 00:15:00+00:00,0.2062881
2022-07-16 00:30:00+00:00,0.2062881
2022-07-16 00:45:00+00:00,0.2062881
2022-07-16 01:00:00+00:00,0.2062881
2022-07-16 01:15:00+00:00,0.2062881
2022-07-16 01:30:00+00:00,0.2062881
2022-07-16 01:45:00+00:00,0.2062881
2022-07-16 02:00:00+00:00,0.2062881
2022-07-16 02:15:00+00:00,0.2062881
2022-07-16 02:30:00+00:00,0.2062881
2022-07-16 02:45:00+00:00,0.2062881
2022-07-16 03:00:00+00:00,0.2062881
2022-07-16 03:15:00+00:00,0.2062881
2022-07-16 03:30:00+00:00,0.2062881
2022-07-16 03:45:00+00:00,0.2062881
2022-07-16 04:00:00+00:00,0.2062881
2022-07-16 04:15:00+00:00,0.2062881
2022-07-16 04:30:00+00:00,0.2062881
2022-07-16 04:45:00+00:00,0.2062881
2022-07-16 05:00:00+00:00,0.2062881
2022-07-16 05:15:00+00:00,0.2062881
2022-07-16 05:30:00+00:00,0.2062881
2022-07-16 05:45:00+00:00,0.2062881
2022-07-16 06:00:00+00:00,0.2062881
2022-07-16 06:15:00+00:00,0.2062881
2022-07-16 06:30:00+00:00,0.2062881
2022-07-16 06:45:00+00:00,0.2062881
2022-07-16 07:00:00+00:00,0.2062881
2022-07-16 07:15:00+00:00,0.2062881
2022-07-16 07:30:00+00:00,0.2062881
2022-07-16 07:45:00+00:00,0.2062881
2022-07-16 08:00:00+00:00,0.2062881
2022-07-16 08:15:00+00:00,0.2062881
2022-07-16 08:30:00+00:00,0.2062881
2022-07-16 08:45:00+00:00,0.2062881
2022-07-16 09:00:00+00:00,0.2062881
2022-07-16 09:15:00+00:00,0.2062881
2022-07-16 09:30:00+00:00,0.2062881
2022-07-16 09:45:00+00:00,0.2062881
2022-07-16 10:00:00+00:00,0.2062881
2022-07-16 10:15:00+00:00,0.2062881
2022-07-16 10:30:00+00:00,0.2062881
2022-07-16 10:45:00+00:00,0.2062881
2022-07-16 11:00:00+00:00,0.2062881
2022-07-16 11:15:00+00:00,0.2062881
2022-07-16 11:30:00+00:00,0.2062881
2022-07-16 11:45:00+00:00,0.2062881
2022-07-16 12:00:00+00:00,0.2062881
2022-07-16 12:15:00+00:00,0.2062881
2022-07-16 12:30:00+00:00,0.2062881
2022-07-16 12:45:00+00:00,0.2062881
2022-07-16 13:00:00+00:00,0.2062881
2022-07-16 13:15:00+00:00,0.2062881
2022-07-16 13:30:00+00:00,0.2062881
2022-07-16 13:45:00+00:00,0.2062881
2022-07-16 14:00:00+00:00,0.2062881
2022-07-16 14:15:00+00:00,0.2062881
2022-07-16 14:30:00+00:00,0.2062881
2022-07-16 14:45:00+00:00,0.2062881
2022-07-16 15:00:00+00:00,0.2062881
2022-07-16 15:15:00+00:00,0.2062881
2022-07-16 15:30:00+00:00,0.2062881
2022-07-16 15:45:00+00:00,0.2062881
2022-07-16 16:00:00+00:00,0.2062881
2022-07-16 16:15:00+00:00,0.2062881
2022-07-16 16:30:00+00:00,0.2062881
2022-07-16 16:45:00+00:00,0.2062881
2022-07-16 17:00:00+00:00,0.2062881
2022-07-16 17:15:00+00:00,0.2062881
2022-07-16 17:30:00+00:00,0.2062881
2022-07-16 17:45:00+00:00,0.2062881
2022-07-16 18:00:00+00:00,0.2062881
2022-07-16 18:15:00+00:00,0.2062881
2022-07-16 18:30:00+00:00,0.2062881
2022-07-16 18:45:00+00:00,0.2062881
2022-07-16 19:00:00+00:00,0.2062881
2022-07-16 19:15:00+00:00,0.2062881
2022-07-16 19:30:00+00:00,0.2062881
2022-07-16 19:45:00+00:00,0.2062881
2022-07-16 20:00:00+00:00,0.2062881
2022-07-16 20:15:00+00:00,0.2062881
